class,term,coef
loss,rusher::Porter Gustin,0.1908922530532647
loss,rusher::Preston Smith,-0.18869756057270717
loss,rusher::Quincy Roche,0.1224609761976149
loss,rusher::Quincy Williams,0.1333996427008774
loss,rusher::Quinnen Williams,-0.3063031531403495
loss,rusher::Quinton Bohanna,0.08234831831244793
loss,rusher::Quinton Jefferson,-0.1742249900547459
loss,rusher::Raekwon Davis,0.14955590248502082
loss,rusher::Raequan Williams,-0.038871372333388624
loss,rusher::Rakeem Nunez-Roches,-0.09104374727552494
loss,rusher::Randy Gregory,-0.09961051809355942
loss,rusher::Rashaan Evans,-0.03151948450931251
loss,rusher::Rashad Weaver,-0.003591034110933788
loss,rusher::Rashan Gary,-0.23741214393441706
loss,rusher::Rashard Lawrence,-0.023074094354670175
loss,rusher::Rasheem Green,-0.15416594137286976
loss,rusher::Rashod Berry,0.18010857665310753
loss,rusher::Raymond Johnson III,0.07775864679775057
loss,rusher::Reggie Ragland,-0.09760022781124732
loss,rusher::Reginald Mckenzie,-0.08771679702676474
loss,rusher::Renell Wren,0.1094228688108905
loss,rusher::Robert Nkemdiche,-0.038353676790099225
loss,rusher::Robert Quinn,-0.4931060544450316
loss,rusher::Robert Spillane,0.04373490569207146
loss,rusher::Romeo Okwara,-0.009259088234089653
loss,rusher::Ron'Dell Carter,0.12064718597084936
loss,rusher::Ronald Blair,-0.055203021218067305
loss,rusher::Roquan Smith,-0.03966436453940273
loss,rusher::Ross Blacklock,-0.02599279022284827
loss,rusher::Roy Lopez,0.012545049133729204
loss,rusher::Roy Robertson-Harris,-0.27535249188123556
loss,rusher::Ryan Kerrigan,0.08757388224064391
loss,rusher::Sam Eguavoen,-0.06265413325225468
loss,rusher::Sam Hubbard,-0.014206998076692956
loss,rusher::Sam Kamara,0.025374990898833185
loss,rusher::Samson Ebukam,0.08105718228811919
loss,rusher::Samuel Eguavoen,0.019387368018456006
loss,rusher::Shaka Toney,-0.1383309733188115
loss,rusher::Shamar Stephen,0.20762349359330284
loss,rusher::Shaq Lawson,0.1351512929912752
loss,rusher::Shaq Thompson,-0.012673554329427496
loss,rusher::Shaquil Barrett,0.009417320818036012
loss,rusher::Shaquille Quarterman,0.12127837876386333
loss,rusher::Sharif Finch,-0.1335615104648304
loss,rusher::Shaun Bradley,0.1285423610095369
loss,rusher::Shelby Harris,-0.0851834067462913
loss,rusher::Sheldon Day,-0.20439478852434145
loss,rusher::Sheldon Rankins,-0.3020465616774734
loss,rusher::Sheldon Richardson,0.15516410087531315
loss,rusher::Shy Tuttle,0.1882295859723732
